language_code,script,lemma,ipa,romanization,part_of_speech,register,politeness_level,sense_label,example_l2,example_l1,syllable_breakdown,pitch_pattern,articulation_notes,drill_steps,audio_asset_url,tags,is_default,concept_key
"es-ES","hola","hola","","hola","expression","neutral","neutral","greeting","Hola, mucho gusto","Hello, nice to meet you","","","","[]","","[]","true","GREET_HELLO_BASIC"
"es-ES","adiós","adiós","","adios","expression","neutral","neutral","goodbye","Adiós, nos vemos luego","Goodbye, see you later","","","","[]","","[]","true","GREET_GOODBYE_BASIC"
"es-ES","gracias","gracias","","gracias","expression","neutral","neutral","gratitude","Muchas gracias por tu ayuda","Thank you very much for your help","","","","[]","","[]","true","GREET_THANK_YOU"
"es-ES","sí","sí","","si","expression","neutral","neutral","yes","Sí, entiendo","Yes, I understand","","","","[]","","[]","true","GREET_YES"
"es-ES","no","no","","no","expression","neutral","neutral","no","No, eso no es correcto","No, that is not correct","","","","[]","","[]","true","GREET_NO"
"es-ES","lo siento","lo siento","","lo siento","expression","neutral","neutral","apology","Lo siento, llegué tarde","Sorry, I arrived late","","","","[]","","[]","true","GREET_SORRY"
"es-ES","vale","vale","","vale","expression","informal","neutral","okay","Vale, vamos","Okay, let's go","","","","[]","","[]","true","GREET_OK"
"es-ES","por favor","por favor","","por favor","expression","neutral","neutral","please","Por favor, espera un momento","Please wait a moment","","","","[]","","[]","true","GREET_PLEASE"
"es-ES","me llamo...","me llamo...","","me llamo","expression","neutral","neutral","self-intro","Me llamo Carlos","My name is Carlos","","","","[]","","[]","true","INTRO_MY_NAME"
"es-ES","¿Cómo te llamas?","¿Cómo te llamas?","","como te llamas","expression","neutral","neutral","ask-name","¿Cómo te llamas?","What is your name?","","","","[]","","[]","true","INTRO_WHATS_YOUR_NAME"
"es-ES","¿De dónde eres?","¿De dónde eres?","","de donde eres","expression","neutral","neutral","where-from","¿De dónde eres?","Where are you from?","","","","[]","","[]","true","ORIGIN_WHERE_FROM"
"es-ES","soy de...","soy de...","","soy de","expression","neutral","neutral","I-am-from","Soy de México","I am from Mexico","","","","[]","","[]","true","ORIGIN_I_AM_FROM"
"es-ES","estoy bien","estoy bien","","estoy bien","expression","neutral","neutral","feel-good","Hoy estoy bien","Today I am fine","","","","[]","","[]","true","FEEL_GOOD"
"es-ES","no me siento muy bien","no me siento muy bien","","no me siento muy bien","expression","neutral","neutral","feel-bad","Hoy no me siento muy bien","Today I don't feel very well","","","","[]","","[]","true","FEEL_NOT_GOOD"
"es-ES","familia","familia","","familia","noun","neutral","neutral","family","Mi familia vive aquí","My family lives here","","","","[]","","[]","true","FAMILY_FAMILY"
"es-ES","madre","madre","","madre","noun","neutral","neutral","mother","Mi madre trabaja mucho","My mother works a lot","","","","[]","","[]","true","FAMILY_MOTHER"
"es-ES","padre","padre","","padre","noun","neutral","neutral","father","Mi padre cocina muy bien","My father cooks very well","","","","[]","","[]","true","FAMILY_FATHER"
"es-ES","amigo","amigo","","amigo","noun","neutral","neutral","friend","Él es mi mejor amigo","He is my best friend","","","","[]","","[]","true","FAMILY_FRIEND"
